"","species","n","str","beta","d"
"1","ABCO",2309,6.60330907676142,0.126717983108443,-0.0130785998207236
"2","CADE",12678,8.10873927164801,-0.0275096642431695,0.0052679693038871
"3","ABMA",23772,19.751759103915,0.0902339440837602,-0.00585806384946856
"4","PICO",5,-8888,-8888,-8888
"5","PILA",355,2.10471698385297,-0.0171161436020725,0.00666365880236811
"6","PIPO",332,3.19515058733939,0.183556826920831,0.00025820842143346
"7","QUKE",1222,1.95066557528233,0.00245046763998303,0.0123891574755457
"8","PIMO",268,2.09524524391421,0.0506638213242065,0.00923280617692179
"9","QUCH",9,-8888,-8888,-8888
"10","PIJE",146,5.30031399305545,0.101688603796125,0.0362261656608926
"11","ABXX",26081,17.2143338115175,0.0649620213395729,-0.00683342611180793
"12","CAXX",12678,8.10873927164801,-0.0275096642431695,0.0052679693038871
"13","PIXX",1106,3.02598202978926,0.132603356123697,0.0123018810696232
"14","QUXX",1231,1.94544049153024,0.0153687533738926,0.0120169817716511
