,plot,species,alive,dead,mortrate
1,EMRIDGE,PIMO,6852,30,0.0043591979
2,BBBPIPO,ABCO,10499,82,0.0077497401
3,BBBPIPO,CADE,54748,569,0.0102861688
4,BBBPIPO,PILA,4950,103,0.0203839303
5,BBBPIPO,PIPO,1198,45,0.0362027353
6,BBBPIPO,QUCH,1425,30,0.0206185567
7,BBBPIPO,QUKE,24648,246,0.0098818993
8,POFLABMA,ABMA,50452,176,0.0034763372
9,POFLABMA,PICO,740,15,0.0198675497
10,SFTRABMA,ABMA,124630,1511,0.0119786588
11,SFTRABMA,PIMO,50,8,0.1379310345
12,FRPIJE,ABCO,726,46,0.0595854922
13,FRPIJE,CADE,28,3,0.0967741935
14,FRPIJE,PIJE,14600,251,0.0169012188
15,FRPIJE,PILA,21,10,0.3225806452
16,FRPIJE,PIMO,0,4,1
17,FRPIJE,QUKE,7085,200,0.0274536719
18,EMSALIX,PICO,98,10,0.0925925926
19,EMSALIX,PIMO,1316,54,0.0394160584
20,CRCRPIPO,ABCO,2205,3018,0.577828834
21,CRCRPIPO,CADE,1061,1901,0.6417960837
22,CRCRPIPO,PILA,475,1143,0.7064276885
23,CRCRPIPO,PIPO,1530,285,0.1570247934
24,CRCRPIPO,QUCH,0,4,1
25,CRCRPIPO,QUKE,65,128,0.6632124352
26,EMSLOPE,PIJE,42,5,0.1063829787
27,EMSLOPE,PIMO,2308,22,0.0094420601
28,SUPILA,ABCO,76539,620,0.0080353556
29,SUPILA,CADE,3020,23,0.0075583306
30,SUPILA,PILA,9066,384,0.0406349206
31,SUPILA,PIPO,0,3,1
32,SUPILA,QUKE,1112,81,0.0678960604
33,PGABMA,ABMA,57091,665,0.0115139553
34,PGABMA,PIMO,10,2,0.1666666667
35,SUABCO,ABCO,52422,427,0.0080796231
36,SUABCO,ABMA,722,11,0.0150068213
37,SUABCO,CADE,19171,183,0.0094554097
38,SUABCO,PILA,2090,160,0.0711111111
39,SUABCO,PIPO,1,1,0.5
40,SUABCO,QUKE,6,2,0.25
41,CCRPIPO,ABCO,72492,1206,0.0163640804
42,CCRPIPO,CADE,64588,704,0.0107823317
43,CCRPIPO,PILA,5975,347,0.0548876938
44,CCRPIPO,PIPO,8449,220,0.0253777829
45,CCRPIPO,QUKE,25055,610,0.0237677771
